User_ID,Age,Gender,Height_cm,Initial_Weight_kg,Initial_BMI,BMI_Category,Body_Fat_Category,Body_Fat_Percentage,Goal,Workout_Frequency,Average_Duration_Minutes,level,Badminton,Football,Basketball,Volleyball,Swim
1,45,Female,193,74,19.87,Normal,4.0,25.4,Muscle Gain,4,60,Intermediate,0,0,0,1,1
2,31,Female,151,83,36.4,Obese,5.0,47.9,Weight Loss,5,60,Advanced,1,1,1,1,1
3,24,Female,184,129,38.1,Obese,5.0,49.4,Weight Loss,3,30,Intermediate,1,0,0,1,0
4,37,Male,191,50,13.71,Underweight,1.0,3.6,Muscle Gain,4,60,Intermediate,1,0,0,0,1
5,35,Female,183,111,33.15,Obese,5.0,43.3,Weight Loss,2,60,Intermediate,0,0,0,1,0
6,39,Male,179,117,36.52,Obese,5.0,35.5,Weight Loss,4,45,Advanced,1,1,1,1,0
7,27,Male,162,113,43.06,Obese,5.0,46.3,Weight Loss,3,60,Intermediate,0,0,1,0,0
8,27,Female,162,105,40.01,Obese,5.0,51.9,Weight Loss,4,90,Beginner,0,0,0,0,0
9,40,Male,167,85,30.48,Obese,5.0,32.2,Weight Loss,4,30,Intermediate,1,0,0,0,0
10,40,Male,181,48,14.65,Underweight,1.0,4.8,Muscle Gain,4,45,Intermediate,0,0,0,0,1
11,19,Male,181,42,12.82,Underweight,1.0,3.0,Muscle Gain,3,45,Beginner,1,0,0,0,0
12,38,Male,184,124,36.63,Obese,5.0,36.3,Weight Loss,4,90,Intermediate,1,1,1,0,1
13,18,Female,188,65,18.39,Underweight,3.0,18.0,Muscle Gain,3,90,Intermediate,1,0,0,0,0
14,40,Female,195,111,29.19,Overweight,5.0,36.5,Weight Loss,3,45,Beginner,1,0,1,1,0
15,46,Female,178,87,27.46,Overweight,5.0,39.0,Weight Loss,2,60,Beginner,0,0,1,0,1
16,18,Female,198,105,26.78,Overweight,4.0,29.6,Maintain,3,60,Beginner,1,0,1,1,1
17,37,Male,178,109,34.4,Obese,5.0,33.0,Weight Loss,3,60,Advanced,1,1,0,1,0
18,49,Male,193,67,17.99,Underweight,2.0,15.1,Muscle Gain,4,45,Beginner,1,1,0,1,0
19,28,Female,165,65,23.88,Normal,4.0,28.4,Muscle Gain,2,45,Beginner,0,0,1,1,0
20,38,Female,193,64,17.18,Underweight,3.0,22.6,Muscle Gain,3,45,Intermediate,1,0,1,0,0
21,41,Female,196,51,13.28,Underweight,2.0,13.4,Muscle Gain,5,60,Advanced,1,0,1,0,0
22,43,Male,159,44,17.4,Underweight,2.0,11.7,Muscle Gain,2,30,Advanced,0,0,0,0,0
23,44,Female,179,87,27.15,Overweight,5.0,33.0,Maintain,4,90,Beginner,1,0,1,1,0
24,32,Female,174,76,25.1,Overweight,4.0,28.4,Muscle Gain,4,30,Intermediate,1,0,0,0,0
25,31,Female,188,118,33.39,Obese,5.0,44.8,Weight Loss,5,45,Advanced,0,0,0,1,1
26,19,Male,169,83,29.06,Overweight,3.0,21.9,Muscle Gain,4,60,Advanced,0,1,0,0,1
27,23,Male,154,54,22.77,Normal,2.0,16.2,Muscle Gain,4,60,Intermediate,1,0,0,1,0
28,37,Male,150,82,36.44,Obese,5.0,36.7,Weight Loss,5,30,Advanced,1,1,0,0,0
29,25,Male,179,87,27.15,Overweight,3.0,21.5,Maintain,3,45,Beginner,1,1,1,0,0
30,34,Male,198,126,32.14,Obese,5.0,33.2,Weight Loss,5,90,Advanced,0,0,0,0,0
31,20,Male,152,109,47.18,Obese,5.0,46.6,Weight Loss,2,45,Beginner,0,0,0,0,0
32,41,Male,194,85,22.58,Normal,3.0,19.6,Muscle Gain,5,45,Advanced,0,0,0,0,0
33,30,Male,163,82,30.86,Obese,5.0,31.1,Weight Loss,3,90,Intermediate,1,0,1,0,0
34,25,Female,179,60,18.73,Normal,3.0,21.4,Muscle Gain,4,30,Intermediate,1,0,0,0,0
35,42,Female,199,62,15.66,Underweight,3.0,22.1,Muscle Gain,3,45,Intermediate,1,0,0,0,1
36,18,Male,153,119,50.84,Obese,5.0,51.5,Weight Loss,4,45,Beginner,1,1,0,0,0
37,36,Male,167,86,30.84,Obese,4.0,28.8,Weight Loss,2,45,Beginner,0,0,0,0,0
38,44,Female,186,54,15.61,Underweight,3.0,18.3,Muscle Gain,5,45,Advanced,1,0,0,0,0
39,23,Male,174,64,21.14,Normal,2.0,15.1,Muscle Gain,5,30,Advanced,0,0,0,1,0
40,24,Male,197,75,19.33,Normal,2.0,14.3,Muscle Gain,3,45,Intermediate,0,0,1,0,1
41,30,Male,150,114,50.67,Obese,5.0,54.4,Weight Loss,5,30,Advanced,0,1,0,0,0
42,33,Female,195,90,23.67,Normal,5.0,30.1,Maintain,4,60,Intermediate,1,0,0,0,0
43,20,Female,164,54,20.08,Normal,3.0,20.3,Muscle Gain,4,45,Beginner,1,0,0,0,0
44,18,Female,158,107,42.86,Obese,5.0,53.8,Weight Loss,3,45,Intermediate,0,0,0,0,1
45,22,Female,164,60,22.31,Normal,4.0,25.3,Maintain,3,90,Intermediate,0,0,0,0,0
46,20,Female,198,52,13.26,Underweight,2.0,15.5,Muscle Gain,3,60,Intermediate,0,0,0,1,1
47,45,Male,173,125,41.77,Obese,5.0,46.6,Weight Loss,3,30,Intermediate,0,0,0,1,0
48,34,Female,153,58,24.78,Normal,5.0,30.0,Muscle Gain,5,90,Beginner,1,0,1,1,0
49,42,Male,161,73,28.16,Overweight,4.0,24.2,Maintain,2,45,Beginner,1,1,0,0,0
50,26,Male,186,117,33.82,Obese,4.0,29.7,Weight Loss,5,30,Advanced,0,1,0,1,0
51,30,Female,186,107,30.93,Obese,5.0,37.1,Weight Loss,3,60,Intermediate,1,0,0,0,1
52,47,Female,192,91,24.69,Normal,5.0,31.3,Maintain,4,60,Intermediate,1,0,0,0,0
53,31,Male,155,66,27.47,Overweight,4.0,25.9,Weight Loss,4,45,Intermediate,1,0,0,0,0
54,24,Male,188,68,19.24,Normal,2.0,11.6,Muscle Gain,5,45,Advanced,1,0,0,0,0
55,30,Male,195,67,17.62,Underweight,2.0,10.1,Muscle Gain,3,60,Intermediate,1,1,0,0,0
56,39,Female,173,74,24.73,Normal,4.0,29.3,Muscle Gain,3,45,Beginner,0,0,0,0,0
57,37,Female,160,47,18.36,Underweight,4.0,24.6,Muscle Gain,3,90,Intermediate,1,0,0,1,1
58,32,Female,162,55,20.96,Normal,4.0,26.6,Muscle Gain,2,45,Beginner,0,0,0,0,1
59,34,Female,183,75,22.4,Normal,4.0,25.0,Muscle Gain,3,90,Beginner,0,0,0,1,0
60,40,Female,174,69,22.79,Normal,5.0,30.3,Maintain,3,60,Intermediate,1,0,0,0,1
61,42,Male,156,57,23.42,Normal,3.0,20.2,Muscle Gain,3,90,Advanced,0,0,0,1,0
62,41,Female,153,41,17.51,Underweight,3.0,19.4,Muscle Gain,4,60,Intermediate,0,0,0,0,0
63,45,Male,157,88,35.7,Obese,5.0,37.2,Weight Loss,3,60,Intermediate,0,1,0,0,0
64,31,Male,169,116,40.61,Obese,5.0,42.0,Weight Loss,3,45,Beginner,0,0,1,0,0
65,17,Male,178,43,13.57,Underweight,1.0,3.0,Muscle Gain,3,45,Intermediate,0,1,1,0,0
66,41,Female,194,129,34.28,Obese,5.0,47.9,Weight Loss,4,45,Intermediate,0,0,0,0,1
