User_ID,Age,Gender,Height_cm,Initial_Weight_kg,Initial_BMI,BMI_Category,Body_Fat_Category,Body_Fat_Percentage,Goal,Workout_Frequency,Average_Duration_Minutes,level,Badminton,Football,Basketball,Volleyball,Swim
1,45,Male,169,122,42.72,Obese,5.0,49.3,Weight Loss,4,90,Intermediate,1,1,0,0,0
2,31,Male,177,81,25.85,Overweight,3.0,22.1,Muscle Gain,4,45,Intermediate,1,0,0,0,0
3,24,Female,157,80,32.46,Obese,5.0,38.7,Weight Loss,4,90,Intermediate,1,0,1,0,1
4,37,Male,190,45,12.47,Underweight,1.0,5.2,Muscle Gain,2,90,Beginner,1,1,0,0,0
5,35,Male,188,91,25.75,Overweight,3.0,22.2,Maintain,4,45,Intermediate,1,0,0,0,1
6,39,Female,150,65,28.89,Overweight,5.0,37.6,Weight Loss,5,90,Advanced,1,0,0,0,0
7,27,Female,152,103,44.58,Obese,5.0,57.2,Weight Loss,2,30,Beginner,1,0,0,0,0
8,27,Male,162,98,37.34,Obese,5.0,36.9,Weight Loss,3,90,Beginner,0,0,0,1,0
9,40,Female,177,95,30.32,Obese,5.0,41.1,Weight Loss,5,45,Beginner,1,0,1,0,0
10,40,Male,198,98,25.0,Overweight,3.0,19.4,Maintain,2,90,Intermediate,1,0,0,0,1
11,19,Female,174,109,36.0,Obese,5.0,43.1,Weight Loss,5,90,Intermediate,1,0,1,0,0
12,38,Male,182,72,21.74,Normal,2.0,14.4,Muscle Gain,3,90,Intermediate,1,1,0,1,1
13,18,Female,187,92,26.31,Overweight,5.0,32.0,Maintain,3,60,Intermediate,1,0,1,1,1
14,40,Male,155,61,25.39,Overweight,3.0,21.0,Muscle Gain,5,45,Advanced,0,1,0,0,0
15,46,Male,193,60,16.11,Underweight,2.0,12.8,Muscle Gain,3,30,Intermediate,1,1,0,0,0
16,18,Male,194,109,28.96,Overweight,4.0,24.0,Weight Loss,4,45,Intermediate,1,0,0,1,0
17,37,Female,181,109,33.27,Obese,5.0,45.0,Weight Loss,3,30,Advanced,0,0,1,0,1
18,49,Male,194,43,11.43,Underweight,1.0,7.3,Muscle Gain,4,60,Intermediate,1,1,0,0,1
19,28,Male,196,114,29.68,Overweight,4.0,28.4,Weight Loss,2,45,Beginner,1,1,1,0,1
